Store ID,Order Placed Date,Source ID,Employee ID,Order Taken Date,Order ID,Sub Total,Order Total
2,8/9/2019 12:56,8,212115,8/9/2019 12:55,193643,13,14.04
2,8/9/2019 13:01,8,212115,8/9/2019 13:00,193644,5,5.4
2,8/9/2019 13:10,8,212115,8/9/2019 13:10,193645,10,10.8
2,8/9/2019 13:13,8,212115,8/9/2019 13:13,193646,5,5.4
2,8/9/2019 13:17,8,212115,8/9/2019 13:16,193647,10,10.8
2,8/9/2019 13:21,8,212115,8/9/2019 13:21,193648,5,5.4
2,8/9/2019 13:24,8,212115,8/9/2019 13:24,193649,5,5.4
2,8/9/2019 13:26,8,212115,8/9/2019 13:25,193651,10,10.8
2,8/9/2019 13:29,8,212115,8/9/2019 13:28,193652,16.58,17.91
2,8/9/2019 13:30,8,212115,8/9/2019 13:29,193653,6,6.48
2,8/9/2019 13:37,8,212115,8/9/2019 13:37,193654,14,15.12
2,8/9/2019 13:40,8,212115,8/9/2019 13:39,193655,5,5.4
2,8/9/2019 13:46,8,212115,8/9/2019 13:46,193656,6.5,7.02
2,8/9/2019 14:14,8,212115,8/9/2019 13:56,193657,17.29,18.67
2,8/9/2019 13:57,8,212115,8/9/2019 13:57,193658,4.75,5.13
2,8/9/2019 14:10,8,333724183,8/9/2019 14:09,193659,11.75,12.69
2,8/9/2019 14:14,8,333724183,8/9/2019 14:14,193660,10,10.8
2,8/9/2019 14:24,8,333724183,8/9/2019 14:24,193661,10,10.8
2,8/9/2019 14:32,8,333724183,8/9/2019 14:32,193662,4.75,5.13
2,8/9/2019 14:33,8,333724183,8/9/2019 14:32,193663,5,5.4
2,8/9/2019 14:34,8,333724183,8/9/2019 14:34,193664,5,5.4
2,8/9/2019 14:53,,199,8/9/2019 14:53,193665,6,6.48
2,8/9/2019 14:55,8,333724183,8/9/2019 14:53,193666,20.75,22.41
2,8/9/2019 15:12,8,333724183,8/9/2019 15:12,193667,8.49,9.17
2,8/9/2019 15:16,8,333724183,8/9/2019 15:14,193668,10,10.8
2,8/9/2019 15:31,8,333724183,8/9/2019 15:30,193669,6,6.48
2,8/9/2019 15:37,8,333724183,8/9/2019 15:36,193670,28.25,30.51
2,8/9/2019 15:48,8,333724183,8/9/2019 15:48,193671,9,9.72
2,8/9/2019 15:56,8,333724183,8/9/2019 15:55,193672,10,10.8
2,8/9/2019 16:00,8,333724183,8/9/2019 16:00,193673,5,5.4
2,8/9/2019 16:05,8,333724183,8/9/2019 16:05,193674,5,5.4
2,8/9/2019 16:08,8,333724183,8/9/2019 16:08,193675,20,21.6
2,8/9/2019 16:21,8,333724183,8/9/2019 16:20,193676,10,10.8
2,8/9/2019 16:44,8,333724183,8/9/2019 16:44,193677,5,5.4
2,8/9/2019 16:45,,199,8/9/2019 16:45,193678,15.5,16.74
2,8/9/2019 16:51,8,333724183,8/9/2019 16:51,193679,15,16.2
2,8/9/2019 16:57,8,333724183,8/9/2019 16:57,193680,5,5.4
2,8/9/2019 17:05,8,333724183,8/9/2019 17:04,193681,9,9.72
2,8/9/2019 17:11,8,333724183,8/9/2019 17:11,193682,5,5.4
2,8/9/2019 17:11,,199,8/9/2019 17:11,193683,16,17.28
2,8/9/2019 17:12,8,333724183,8/9/2019 17:12,193684,5,5.4
2,8/9/2019 17:17,8,333724183,8/9/2019 17:16,193685,10,10.8
2,8/9/2019 17:19,8,333724183,8/9/2019 17:19,193687,10,10.8
2,8/9/2019 17:25,8,333724183,8/9/2019 17:24,193688,15,16.2
2,8/9/2019 17:25,8,333724183,8/9/2019 17:25,193689,5,5.4
2,8/9/2019 17:34,8,333724183,8/9/2019 17:33,193690,25.29,27.31
2,8/9/2019 17:41,8,333724183,8/9/2019 17:40,193691,14.75,15.93
2,8/9/2019 17:42,8,333724183,8/9/2019 17:42,193692,22,23.76
2,8/9/2019 17:56,8,333724183,8/9/2019 17:55,193694,18,19.44
2,8/9/2019 18:04,8,333724183,8/9/2019 18:04,193695,10.18,10.99
2,8/9/2019 18:08,8,333724183,8/9/2019 18:08,193696,0.59,0.64
2,8/9/2019 18:09,8,333724183,8/9/2019 18:08,193697,6,6.48
2,8/9/2019 18:10,8,333724183,8/9/2019 18:10,193698,10,10.8
2,8/9/2019 18:13,8,333724183,8/9/2019 18:12,193699,5,5.4
2,8/9/2019 18:13,8,333724183,8/9/2019 18:13,193700,15,16.2
2,8/9/2019 18:15,8,333724183,8/9/2019 18:14,193701,5,5.4
2,8/9/2019 18:16,8,333724183,8/9/2019 18:15,193702,22,23.76
2,8/9/2019 18:20,8,333724183,8/9/2019 18:20,193703,14,15.12
2,8/9/2019 18:24,8,333724183,8/9/2019 18:24,193704,5.75,6.21
2,8/9/2019 18:25,8,333724183,8/9/2019 18:25,193705,5,5.4
2,8/9/2019 18:40,8,333724183,8/9/2019 18:39,193706,14.25,15.39
2,8/9/2019 18:42,8,333724183,8/9/2019 18:41,193707,19,20.52
2,8/9/2019 18:49,8,333724183,8/9/2019 18:49,193708,3.29,3.55
2,8/9/2019 18:56,8,333724183,8/9/2019 18:55,193709,6,6.48
2,8/9/2019 18:57,,199,8/9/2019 18:57,193710,6,6.48
2,8/9/2019 19:01,8,333724183,8/9/2019 19:00,193712,9,9.72
2,8/9/2019 19:01,8,333724183,8/9/2019 19:01,193713,8.29,8.95
2,8/9/2019 19:09,8,333724183,8/9/2019 19:08,193714,9,9.72
2,8/9/2019 19:13,8,333724183,8/9/2019 19:12,193715,9,9.72
2,8/9/2019 19:18,,199,8/9/2019 19:18,193716,5,5.4
2,8/9/2019 19:21,8,333724183,8/9/2019 19:20,193717,14.5,15.66
2,8/9/2019 19:22,8,333724183,8/9/2019 19:21,193718,1,1.08
2,8/9/2019 19:24,8,333724183,8/9/2019 18:59,193719,19.29,20.83
2,8/9/2019 19:37,8,333724183,8/9/2019 19:36,193720,9,9.72
2,8/9/2019 19:38,8,333724183,8/9/2019 19:38,193721,6.74,7.28
2,8/9/2019 19:43,8,333724183,8/9/2019 19:43,193722,6,6.48
2,8/9/2019 19:45,8,333724183,8/9/2019 19:44,193723,9.75,10.53
2,8/9/2019 19:46,8,333724183,8/9/2019 19:45,193724,6,6.48
2,8/9/2019 19:47,,199,8/9/2019 19:47,193725,19.5,21.06
2,8/9/2019 19:47,8,333724183,8/9/2019 19:46,193726,17.5,18.9
2,8/9/2019 19:51,8,333724183,8/9/2019 19:50,193727,10,10.8
2,8/9/2019 19:54,8,333724183,8/9/2019 19:53,193728,3.29,3.55
2,8/9/2019 19:55,8,333724183,8/9/2019 19:55,193729,10,10.8
2,8/9/2019 19:57,8,333724183,8/9/2019 19:56,193730,10,10.8
2,8/9/2019 19:58,8,333724183,8/9/2019 19:57,193731,10.34,11.17
2,8/9/2019 20:21,8,333724183,8/9/2019 20:00,193732,13,14.04
2,8/9/2019 20:00,8,333724183,8/9/2019 20:00,193733,6,6.48
2,8/9/2019 20:03,8,333724183,8/9/2019 20:02,193734,9,9.72
2,8/9/2019 20:06,8,333724183,8/9/2019 20:05,193735,15,16.2
2,8/9/2019 20:06,8,333724183,8/9/2019 20:06,193736,6.25,6.75
2,8/9/2019 20:07,8,333724183,8/9/2019 20:07,193737,5,5.4
2,8/9/2019 20:08,8,333724183,8/9/2019 20:08,193738,12.5,13.5
2,8/9/2019 20:14,8,333724183,8/9/2019 20:14,193739,11.5,12.42
2,8/9/2019 20:19,8,333724183,8/9/2019 20:18,193740,11.25,12.15
2,8/9/2019 20:21,8,333724183,8/9/2019 20:21,193741,10,10.8
2,8/9/2019 20:23,8,333724183,8/9/2019 20:22,193742,5,5.4
2,8/9/2019 20:24,8,333724183,8/9/2019 20:23,193743,10,10.8
2,8/9/2019 20:24,8,333724183,8/9/2019 20:24,193744,1,1.08
2,8/9/2019 20:26,8,333724183,8/9/2019 20:24,193745,9,9.72
2,8/9/2019 20:26,8,333724183,8/9/2019 20:26,193746,5,5.4
2,8/9/2019 20:31,8,333724183,8/9/2019 20:29,193747,5,5.4
2,8/9/2019 20:33,8,333724183,8/9/2019 20:33,193748,26.29,28.39
2,8/9/2019 20:43,8,333724183,8/9/2019 20:43,193749,5,5.4
2,8/9/2019 20:44,8,333724183,8/9/2019 20:43,193750,11,11.88
2,8/9/2019 21:05,8,333724183,8/9/2019 20:48,193751,8,8.64
2,8/9/2019 20:54,8,333724183,8/9/2019 20:53,193752,8.29,8.95
2,8/9/2019 20:54,,199,8/9/2019 20:54,193753,6,6.48
2,8/9/2019 20:58,8,333724183,8/9/2019 20:57,193754,5,5.4
2,8/9/2019 21:03,8,333724183,8/9/2019 21:02,193755,8.29,8.95
2,8/9/2019 21:04,8,333724183,8/9/2019 21:04,193756,5,5.4
2,8/9/2019 21:06,8,333724183,8/9/2019 21:06,193757,4.75,5.13
2,8/9/2019 21:07,8,333724183,8/9/2019 21:07,193758,10,10.8
2,8/9/2019 21:12,8,333724183,8/9/2019 21:10,193759,11.5,12.42
2,8/9/2019 21:20,8,333724183,8/9/2019 21:12,193760,5,5.4
2,8/9/2019 21:46,8,333724183,8/9/2019 21:20,193761,12.18,13.15
2,8/9/2019 21:28,8,333724183,8/9/2019 21:28,193762,11.5,12.42
2,8/9/2019 21:43,8,333724183,8/9/2019 21:42,193763,25,27
2,8/9/2019 21:44,8,333724183,8/9/2019 21:44,193764,6.5,7.02
2,8/9/2019 21:45,8,333724183,8/9/2019 21:45,193765,5,5.4
3,8/9/2019 11:00,14,333668069,8/9/2019 10:31,144431,80,86.4
3,8/9/2019 11:03,14,333668069,8/9/2019 10:35,144432,60,64.8
3,8/9/2019 11:07,14,333668069,8/9/2019 11:06,144433,13.24,14.29
3,8/9/2019 11:10,14,333668069,8/9/2019 11:10,144434,10,10.8
3,8/9/2019 11:11,14,333668069,8/9/2019 11:11,144435,10,10.8
3,8/9/2019 11:24,14,333668069,8/9/2019 11:24,144436,10.5,11.34
3,8/9/2019 11:24,,199,8/9/2019 11:24,144437,5,5.4
3,8/9/2019 11:29,14,333668069,8/9/2019 11:28,144438,5,5.4
3,8/9/2019 11:44,,199,8/9/2019 11:44,144439,23,24.84
3,8/9/2019 11:45,14,333668069,8/9/2019 11:45,144440,20,21.6
3,8/9/2019 11:50,14,333668069,8/9/2019 11:50,144441,10,10.8
3,8/9/2019 11:52,11,333784127,8/9/2019 11:51,144442,5,5.4
3,8/9/2019 11:57,11,333784127,8/9/2019 11:57,144443,5,5.4
3,8/9/2019 12:03,11,333784127,8/9/2019 12:02,144444,5,5.4
3,8/9/2019 12:11,11,333784127,8/9/2019 12:10,144445,5,5.4
3,8/9/2019 12:29,11,333668069,8/9/2019 12:21,144446,6,6.48
3,8/9/2019 12:30,14,333668069,8/9/2019 12:30,144447,5,5.4
3,8/9/2019 12:32,11,333784127,8/9/2019 12:32,144448,5,5.4
3,8/9/2019 12:35,11,333784127,8/9/2019 12:35,144449,6.5,7.02
3,8/9/2019 12:43,14,333668069,8/9/2019 12:43,144450,25,27
3,8/9/2019 12:46,14,333668069,8/9/2019 12:46,144451,12,12.96
3,8/9/2019 12:52,,199,8/9/2019 12:52,144452,5,5.4
3,8/9/2019 13:05,11,333784127,8/9/2019 13:05,144453,3.29,3.56
3,8/9/2019 13:06,11,333784127,8/9/2019 13:06,144454,6,6.48
