Store ID,Transaction Type,Amount,Transaction Count,Date
2,Checks,0,0,8/4/2019
1,Checks,0,0,8/4/2019
41,Cash,636.09,58,8/4/2019
40,Cash,557.08,57,8/4/2019
39,Cash,960.47,106,8/4/2019
38,Cash,331.26,39,8/4/2019
37,Cash,422.45,50,8/4/2019
23,Cash,680.16,69,8/4/2019
22,Cash,773.87,75,8/4/2019
21,Cash,615.52,69,8/4/2019
20,Cash,2245.45,233,8/4/2019
19,Cash,362.48,43,8/4/2019
12,Cash,695.43,80,8/4/2019
11,Cash,832.98,100,8/4/2019
10,Cash,616.39,86,8/4/2019
6,Cash,950.79,92,8/4/2019
3,Cash,1386.21,143,8/4/2019
2,Cash,310.35,35,8/4/2019
1,Cash,1113,100,8/4/2019
41,Alt. Currency,0,0,8/4/2019
40,Alt. Currency,0,0,8/4/2019
39,Alt. Currency,0,0,8/4/2019
38,Alt. Currency,0,0,8/4/2019
37,Alt. Currency,0,0,8/4/2019
23,Alt. Currency,0,0,8/4/2019
22,Alt. Currency,0,0,8/4/2019
21,Alt. Currency,0,0,8/4/2019
20,Alt. Currency,0,0,8/4/2019
19,Alt. Currency,0,0,8/4/2019
12,Alt. Currency,0,0,8/4/2019
11,Alt. Currency,0,0,8/4/2019
10,Alt. Currency,0,0,8/4/2019
6,Alt. Currency,0,0,8/4/2019
3,Alt. Currency,0,0,8/4/2019
2,Alt. Currency,0,0,8/4/2019
1,Alt. Currency,0,0,8/4/2019
41,PO,0,0,8/3/2019
40,PO,0,0,8/3/2019
39,PO,0,0,8/3/2019
38,PO,0,0,8/3/2019
37,PO,0,0,8/3/2019
23,PO,0,0,8/3/2019
22,PO,0,0,8/3/2019
21,PO,0,0,8/3/2019
20,PO,0,0,8/3/2019
19,PO,0,0,8/3/2019
12,PO,0,0,8/3/2019
11,PO,0,0,8/3/2019
10,PO,0,0,8/3/2019
6,PO,0,0,8/3/2019
3,PO,0,0,8/3/2019
2,PO,0,0,8/3/2019
1,PO,0,0,8/3/2019
41,Other,0,0,8/3/2019
40,Other,0,0,8/3/2019
39,Other,0,0,8/3/2019
38,Other,0,0,8/3/2019
37,Other,0,0,8/3/2019
23,Other,0,0,8/3/2019
22,Other,0,0,8/3/2019
21,Other,0,0,8/3/2019
20,Other,0,0,8/3/2019
19,Other,0,0,8/3/2019
